submission_id,actual_cause,age,comments,correctResponse,education,effect_valence,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,mechanism,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNr,trialType
3494,red,25,,Sound A,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,Sound A,11675,1,comprehension
3494,red,25,,Sound A,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,Sound A,1292,2,comprehension
3494,red,25,,Sound A,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,Sound A,1384,3,comprehension
3494,red,25,,Sound B,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,Sound B,1231,4,comprehension
3494,red,25,,Everyone,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,Everyone,3992,1,comprehension-2
3494,red,25,,FALSE,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,FALSE,2416,2,comprehension-2
3494,red,25,,NA,Graduated College,pleasant,220133,1716737387929,1716737167796,male,Engish,disjunctive,610073c79fa52e110665ff7a,6653544578d4cf4381f2ccaf,665353d08d37546e94979ca6,3,73110,1,critical
3616,red,,,Sound A,,neutral,104562,1716899733781,1716899629219,,,disjunctive,5bff1eeebe5e730001efef32,6655cf276c6e8f3c8a2e61d6,665353d08d37546e94979ca6,Sound A,2232,1,comprehension
3616,red,,,Sound A,,neutral,104562,1716899733781,1716899629219,,,disjunctive,5bff1eeebe5e730001efef32,6655cf276c6e8f3c8a2e61d6,665353d08d37546e94979ca6,Sound A,22125,2,comprehension
3616,red,,,Sound A,,neutral,104562,1716899733781,1716899629219,,,disjunctive,5bff1eeebe5e730001efef32,6655cf276c6e8f3c8a2e61d6,665353d08d37546e94979ca6,Sound A,10069,3,comprehension
