submission_id,actual_outcome,age,comments,correctResponse,education,effect_valence,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,mechanism,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNr,trialType
1586,red,33,,Sound A,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,Sound A,31000,1,comprehension
1586,red,33,,Sound B,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,Sound B,6034,2,comprehension
1586,red,33,,Sound B,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,Sound B,2816,3,comprehension
1586,red,33,,Sound B,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,Sound B,1868,4,comprehension
1586,red,33,,only the islanders know,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,90% for blue marbles and 10% for red marbles,27716,1,comprehension-2
1586,red,33,,FALSE,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,FALSE,20667,2,comprehension-2
1586,red,33,,NA,Higher degree,neutral,198728,1755774624953,1755774426225,male,English,conjunctive,5ee5defbfe74a3000d106f51,68a6fdd4ff818fbca692f899,68a6ee9f7d592818f90008e8,2,14766,1,critical
1587,red,24,,Sound A,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,Sound A,5315,1,comprehension
1587,red,24,,Sound A,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,Sound A,21541,2,comprehension
1587,red,24,,Sound A,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,Sound A,3348,3,comprehension
1587,red,24,,Sound B,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,Sound B,1949,4,comprehension
1587,red,24,,only the islanders know,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,only the islanders know,7548,1,comprehension-2
1587,red,24,,FALSE,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,FALSE,2427,2,comprehension-2
1587,red,24,,NA,Higher degree,unpleasant,130003,1755774699280,1755774569277,female,English,disjunctive,66c0bcab0a19a0e7d82c2b80,68a6fe5f6114959f17d05f1d,68a6ee9f7d592818f90008e8,2,31367,1,critical
1593,blue,49,,Sound A,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,Sound A,21748,1,comprehension
1593,blue,49,,Sound A,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,Sound B,1488,2,comprehension
1593,blue,49,,Sound A,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,Sound A,5261,3,comprehension
1593,blue,49,,Sound B,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,Sound B,4084,4,comprehension
1593,blue,49,,only the islanders know,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,only the islanders know,7872,1,comprehension-2
1593,blue,49,,FALSE,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,FALSE,2761,2,comprehension-2
1593,blue,49,,NA,Graduated High-school,pleasant,175631,1755775242578,1755775066947,male,english,disjunctive,63ea4a7fa7d709c8e7887a93,68a7004f49b634456a0d7ab1,68a6ee9f7d592818f90008e8,5,40791,1,critical
1594,blue,46,,Sound A,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,Sound A,11807,1,comprehension
1594,blue,46,,Sound A,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,Sound A,1241,2,comprehension
1594,blue,46,,Sound A,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,Sound A,1432,3,comprehension
1594,blue,46,,Sound B,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,Sound B,1200,4,comprehension
1594,blue,46,,only the islanders know,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,only the islanders know,6447,1,comprehension-2
1594,blue,46,,FALSE,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,FALSE,3465,2,comprehension-2
1594,blue,46,,NA,Graduated College,pleasant,129452,1755775253255,1755775123803,female,british,disjunctive,5791dae225cb71000128ad5b,68a70091ca020e36c2824d7e,68a6ee9f7d592818f90008e8,5,21648,1,critical
1597,red,25,N/A,Sound A,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,Sound A,8508,1,comprehension
1597,red,25,N/A,Sound A,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,Sound A,4092,2,comprehension
1597,red,25,N/A,Sound A,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,Sound A,1851,3,comprehension
1597,red,25,N/A,Sound B,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,Sound B,1821,4,comprehension
1597,red,25,N/A,only the islanders know,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,8509,1,comprehension-2
1597,red,25,N/A,FALSE,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,FALSE,3504,2,comprehension-2
1597,red,25,N/A,NA,Higher degree,pleasant,175268,1756124267627,1756124092359,male,English,disjunctive,66cb2e0bd2169db778550269,68ac53a8d93a9e5019781410,68ac49e7f5750fd7a623e599,4,19521,1,critical
1598,blue,79,,Sound A,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,Sound B,44928,1,comprehension
1598,blue,79,,Sound B,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,Sound B,21487,2,comprehension
1598,blue,79,,Sound B,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,Sound A,10601,3,comprehension
1598,blue,79,,Sound B,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,Sound B,8984,4,comprehension
1598,blue,79,,only the islanders know,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,12056,1,comprehension-2
1598,blue,79,,FALSE,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,FALSE,4376,2,comprehension-2
1598,blue,79,,NA,Graduated High-school,pleasant,219919,1756124310464,1756124090545,male,ENGLISH,conjunctive,5e2872fffcdb020467d12799,68ac53ae0b3db5e98d6d8e18,68ac49e7f5750fd7a623e599,6,20776,1,critical
1599,red,55,,Sound A,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,Sound A,9614,1,comprehension
1599,red,55,,Sound B,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,Sound B,1560,2,comprehension
1599,red,55,,Sound B,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,Sound B,1718,3,comprehension
1599,red,55,,Sound B,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,Sound B,1376,4,comprehension
1599,red,55,,only the islanders know,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,9014,1,comprehension-2
1599,red,55,,FALSE,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,FALSE,2867,2,comprehension-2
1599,red,55,,NA,Graduated College,neutral,163403,1756124366766,1756124203363,male,english,conjunctive,6367a6adb376bcde64f98559,68ac5417208a9284b6a3e3fc,68ac49e7f5750fd7a623e599,6,30888,1,critical
1600,blue,32,N/A,Sound A,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,Sound A,72300,1,comprehension
1600,blue,32,N/A,Sound B,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,Sound B,4944,2,comprehension
1600,blue,32,N/A,Sound B,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,Sound B,2840,3,comprehension
1600,blue,32,N/A,Sound B,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,Sound B,2960,4,comprehension
1600,blue,32,N/A,only the islanders know,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,34756,1,comprehension-2
1600,blue,32,N/A,FALSE,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,FALSE,9104,2,comprehension-2
1600,blue,32,N/A,NA,Higher degree,pleasant,265594,1756124392475,1756124126881,male,English,conjunctive,67a95d468d14bd6324b4bbba,68ac53d50673a62f33682a91,68ac49e7f5750fd7a623e599,5,36183,1,critical
1601,blue,49,Jesus died for our sins because He loves us.,Sound A,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,Sound A,2411,1,comprehension
1601,blue,49,Jesus died for our sins because He loves us.,Sound B,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,Sound B,1501,2,comprehension
1601,blue,49,Jesus died for our sins because He loves us.,Sound B,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,Sound B,1192,3,comprehension
1601,blue,49,Jesus died for our sins because He loves us.,Sound B,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,Sound A,2168,4,comprehension
1601,blue,49,Jesus died for our sins because He loves us.,only the islanders know,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,6448,1,comprehension-2
1601,blue,49,Jesus died for our sins because He loves us.,FALSE,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,FALSE,1944,2,comprehension-2
1601,blue,49,Jesus died for our sins because He loves us.,NA,Graduated College,unpleasant,244183,1756124418753,1756124174570,female,english,conjunctive,5a135875074b1900012527a9,68ac540888bccea49534767e,68ac49e7f5750fd7a623e599,4,12168,1,critical
1602,red,60,,Sound A,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,Sound A,3420,1,comprehension
1602,red,60,,Sound A,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,Sound B,2406,2,comprehension
1602,red,60,,Sound A,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,Sound A,1684,3,comprehension
1602,red,60,,Sound B,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,Sound B,1880,4,comprehension
1602,red,60,,only the islanders know,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,90% for blue marbles and 10% for red marbles,14088,1,comprehension-2
1602,red,60,,FALSE,Graduated High-school,neutral,290164,1756124452764,1756124162600,male,English,disjunctive,61664028d0451f1bf8b9b031,68ac53e248d34d6361a67cef,68ac49e7f5750fd7a623e599,FALSE,8552,2,comprehension-2
