"","actual_cause","effect_valence","mechanism","response"
"1","red","pleasant","disjunctive",3
"2","blue","neutral","disjunctive",2
"3","red","unpleasant","conjunctive",1
"4","blue","unpleasant","conjunctive",6
"5","red","unpleasant","conjunctive",6
"6","blue","pleasant","disjunctive",1
"7","red","pleasant","disjunctive",1
"8","blue","pleasant","conjunctive",4
"9","blue","unpleasant","conjunctive",6
"10","red","pleasant","conjunctive",7
"11","red","pleasant","disjunctive",4
"12","red","unpleasant","conjunctive",6
"13","blue","neutral","disjunctive",6
"14","red","pleasant","conjunctive",6
"15","blue","unpleasant","disjunctive",4
"16","blue","unpleasant","disjunctive",4
"17","blue","pleasant","conjunctive",6
"18","red","pleasant","disjunctive",2
"19","blue","neutral","conjunctive",6
"20","red","neutral","conjunctive",4
"21","blue","unpleasant","conjunctive",2
"22","red","neutral","disjunctive",4
"23","red","neutral","conjunctive",3
"24","red","pleasant","disjunctive",2
"25","red","unpleasant","conjunctive",4
"26","red","neutral","conjunctive",4
"27","red","pleasant","conjunctive",7
