submission_id,response_right,correct_response_awareness,gender,mechanism,comments,languages,responseRelig2Red,correct_response_yr,response,response_bg,response_left,response_awareness,correct_response,actual_outcome,right_marble,prolific_session_id,experiment_end_time,response_y_r,trialNr,response_b_g,trialType,effect_valence,correct_response_unlabeled,age,education,correctResponse,response_control,correct_response_unk,prolific_pid,experiment_duration,response_unlabeled,prolific_study_id,correct_response_bg,left_marble,island_type,response_unk,response_yr,correct_response_control,comprehension_1_failed,outcome_sound,responseTime,experiment_start_time
2169,NA,NA,male,conjunctive,,English,,NA,sound B,NA,NA,NA,sound B,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,1,,comprehension-1-1,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,9647,1767165506463
2169,NA,NA,male,conjunctive,,English,,NA,sound B,NA,NA,NA,sound B,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,2,,comprehension-1-1,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,1573,1767165506463
2169,NA,NA,male,conjunctive,,English,,NA,sound B,NA,NA,NA,sound B,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,3,,comprehension-1-1,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,1138,1767165506463
2169,NA,NA,male,conjunctive,,English,,NA,sound A,NA,NA,NA,sound A,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,4,,comprehension-1-1,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,2213,1767165506463
2169,NA,No,male,conjunctive,,English,,NA,NA,NA,NA,No,NA,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,1,,comprehension-2,neutral,NA,36,Graduated College,,No,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,No,NA,NA,7004,1767165506463
2169,NA,NA,male,conjunctive,,English,,The probability of a yellow marble being released is the same as of a red marble being released.,NA,Yes,NA,NA,NA,NA,NA,6954cdcd7c61b048247e3905,1767166022522,,2,,comprehension-2,neutral,Cannot say,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,Cannot say,6953fb944c10a4272405cd8e,Yes,NA,NA,NA,The probability of a yellow marble being released is the same as of a red marble being released.,NA,NA,NA,29729,1767165506463
2169,5,NA,male,conjunctive,,English,,NA,NA,NA,5,NA,NA,NA,green,6954cdcd7c61b048247e3905,1767166022522,,1,,critical-speaker,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,yellow,Y-R,NA,NA,NA,NA,sound B,26496,1767165506463
2169,7,NA,male,conjunctive,,English,,NA,NA,NA,7,NA,NA,NA,red,6954cdcd7c61b048247e3905,1767166022522,,2,,critical-speaker,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,blue,Y-R,NA,NA,NA,NA,sound A,7895,1767165506463
2169,7,NA,male,conjunctive,,English,,NA,NA,NA,5,NA,NA,NA,red,6954cdcd7c61b048247e3905,1767166022522,,3,,critical-speaker,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,blue,B-G,NA,NA,NA,NA,sound A,11793,1767165506463
2169,6,NA,male,conjunctive,,English,,NA,NA,NA,4,NA,NA,NA,green,6954cdcd7c61b048247e3905,1767166022522,,4,,critical-speaker,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,blue,B-G,NA,NA,NA,NA,sound B,10936,1767165506463
2169,NA,NA,male,conjunctive,,English,,NA,NA,NA,NA,NA,NA,right,red,6954cdcd7c61b048247e3905,1767166022522,,1,,critical-listener,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,yellow,NA,5,NA,NA,NA,sound B,34859,1767165506463
2169,NA,NA,male,conjunctive,,English,,NA,NA,NA,NA,NA,NA,left,red,6954cdcd7c61b048247e3905,1767166022522,,2,,critical-listener,neutral,NA,36,Graduated College,,NA,,60643e9b1b2e851ff9238862,516059,NA,6953fb944c10a4272405cd8e,NA,blue,NA,4,NA,NA,NA,sound A,20060,1767165506463
2170,NA,NA,male,disjunctive,NA,English,,NA,sound A,NA,NA,NA,sound A,NA,NA,6954d17f5c6484238f38faef,1767167058741,,1,,comprehension-1-1,unpleasant,NA,56,Higher degree,,NA,,5f9556e826384e3aaa4f0f01,718183,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,18824,1767166340558
2170,NA,NA,male,disjunctive,NA,English,,NA,sound A,NA,NA,NA,sound A,NA,NA,6954d17f5c6484238f38faef,1767167058741,,2,,comprehension-1-1,unpleasant,NA,56,Higher degree,,NA,,5f9556e826384e3aaa4f0f01,718183,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,4095,1767166340558
2170,NA,NA,male,disjunctive,NA,English,,NA,sound A,NA,NA,NA,sound A,NA,NA,6954d17f5c6484238f38faef,1767167058741,,3,,comprehension-1-1,unpleasant,NA,56,Higher degree,,NA,,5f9556e826384e3aaa4f0f01,718183,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,2272,1767166340558
2170,NA,NA,male,disjunctive,NA,English,,NA,sound B,NA,NA,NA,sound B,NA,NA,6954d17f5c6484238f38faef,1767167058741,,4,,comprehension-1-1,unpleasant,NA,56,Higher degree,,NA,,5f9556e826384e3aaa4f0f01,718183,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,NA,false,NA,2207,1767166340558
2170,NA,No,male,disjunctive,NA,English,,NA,NA,NA,NA,No,NA,NA,NA,6954d17f5c6484238f38faef,1767167058741,,1,,comprehension-2,unpleasant,NA,56,Higher degree,,No,,5f9556e826384e3aaa4f0f01,718183,NA,6953fb944c10a4272405cd8e,NA,NA,NA,NA,NA,No,NA,NA,14024,1767166340558
